Timestamp,Violation Type,Confidence
2026-05-08 23:12:54,No Helmet,0.77
2026-05-08 23:12:56,No Helmet,0.79
2026-05-08 23:13:05,No Helmet,0.76
2026-05-08 23:13:07,No Helmet,0.79
2026-05-08 23:13:10,No Helmet,0.78
2026-05-08 23:14:02,No Helmet,0.61
2026-05-08 23:14:04,No Helmet,0.64
2026-05-08 23:14:06,No Helmet,0.61
2026-05-08 23:14:09,No Helmet,0.60
2026-05-08 23:14:11,No Helmet,0.67
2026-05-08 23:14:14,No Helmet,0.63
2026-05-08 23:14:18,No Helmet,0.61
2026-05-08 23:14:21,No Helmet,0.63
2026-05-08 23:14:23,No Helmet,0.59
2026-05-08 23:14:25,No Helmet,0.66
2026-05-08 23:14:28,No Helmet,0.60
2026-05-08 23:14:30,No Helmet,0.53
2026-05-08 23:14:32,No Helmet,0.58
2026-05-08 23:14:34,No Helmet,0.60
2026-05-08 23:14:36,No Helmet,0.65
2026-05-08 23:14:38,No Helmet,0.54
2026-05-08 23:14:40,No Helmet,0.54
2026-05-08 23:14:43,No Helmet,0.56
2026-05-08 23:14:45,No Helmet,0.58
2026-05-08 23:14:47,No Helmet,0.54
2026-05-08 23:14:49,No Helmet,0.62
2026-05-08 23:14:51,No Helmet,0.62
2026-05-08 23:15:03,No Helmet,0.77
2026-05-08 23:15:05,No Helmet,0.72
2026-05-08 23:15:07,No Helmet,0.76
2026-05-08 23:15:18,No Helmet,0.71
2026-05-08 23:15:25,No Helmet,0.75
2026-05-08 23:15:27,No Helmet,0.73
2026-05-08 23:15:29,No Helmet,0.73
2026-05-08 23:15:31,No Helmet,0.73
2026-05-08 23:15:33,No Helmet,0.74
2026-05-08 23:15:37,No Helmet,0.72
2026-05-08 23:15:39,No Helmet,0.72
2026-05-08 23:15:41,No Helmet,0.72
2026-05-08 23:15:47,No Helmet,0.73
2026-05-08 23:15:49,No Helmet,0.71
2026-05-08 23:15:52,No Helmet,0.72
2026-05-08 23:15:55,No Helmet,0.72
2026-05-08 23:16:19,No Helmet,0.72
2026-05-08 23:16:24,No Helmet,0.74
2026-05-08 23:16:26,No Helmet,0.77
2026-05-08 23:16:28,No Helmet,0.71
2026-05-08 23:16:30,No Helmet,0.73
2026-05-08 23:16:32,No Helmet,0.74
2026-05-08 23:16:34,No Helmet,0.77
2026-05-08 23:16:36,No Helmet,0.73
2026-05-08 23:16:38,No Helmet,0.74
2026-05-08 23:16:42,No Helmet,0.79
2026-05-08 23:16:45,No Helmet,0.77
2026-05-08 23:16:47,No Helmet,0.82
2026-05-08 23:16:49,No Helmet,0.79
2026-05-08 23:16:51,No Helmet,0.71
2026-05-08 23:16:53,No Helmet,0.74
2026-05-08 23:40:55,No Helmet,0.87
2026-05-08 23:40:57,No Helmet,0.86
2026-05-08 23:41:01,No Helmet,0.86
2026-05-08 23:42:03,No Helmet,0.87
2026-05-08 23:42:20,No Helmet,0.87
2026-05-08 23:42:27,No Helmet,0.86
2026-05-09 00:19:45,No Helmet,0.87
2026-05-09 00:19:47,No Helmet,0.87
2026-05-09 00:19:49,No Helmet,0.88
2026-05-09 00:19:51,No Helmet,0.90
2026-05-09 00:19:53,No Helmet,0.89
2026-05-09 00:19:56,No Helmet,0.89
2026-05-09 00:19:58,No Helmet,0.87
2026-05-10 22:17:46,No Helmet,0.87
2026-05-10 22:17:48,No Helmet,0.85
2026-05-10 22:17:59,No Helmet,0.89
2026-05-10 22:18:03,No Helmet,0.86
2026-05-10 22:19:03,No Helmet,0.87
2026-05-10 22:19:05,No Helmet,0.85
2026-05-10 22:19:17,No Helmet,0.89
2026-05-10 22:19:21,No Helmet,0.86
2026-05-10 22:22:12,No Helmet,0.87
2026-05-10 22:22:14,No Helmet,0.88
2026-05-10 22:26:12,No Helmet,0.87
2026-05-10 22:26:14,No Helmet,0.86
2026-05-10 22:26:16,No Helmet,0.89
2026-05-10 22:26:39,No Helmet,0.89
2026-05-10 22:26:45,No Helmet,0.86
2026-05-11 09:35:04,No Helmet,0.87
2026-05-11 09:35:07,No Helmet,0.85
2026-05-11 09:35:09,No Helmet,0.86
2026-05-11 09:35:11,No Helmet,0.86
2026-05-11 09:35:51,No Helmet,0.72
2026-05-11 09:35:53,No Helmet,0.85
2026-05-11 09:36:03,No Helmet,0.73
2026-05-11 09:36:05,No Helmet,0.86
2026-05-11 09:37:34,No Helmet,0.76
2026-05-11 09:37:36,No Helmet,0.83
2026-05-11 09:37:38,No Helmet,0.80
2026-05-11 09:37:40,No Helmet,0.82
2026-05-11 09:37:43,No Helmet,0.79
2026-05-11 09:37:45,No Helmet,0.82
2026-05-11 09:37:47,No Helmet,0.80
2026-05-11 09:37:49,No Helmet,0.80
2026-05-11 09:37:51,No Helmet,0.76
2026-05-11 09:37:53,No Helmet,0.82
2026-05-11 09:37:55,No Helmet,0.82
2026-05-11 09:37:58,No Helmet,0.77
